,id,lonlat,tags.power,tags.substation,Type,Area,tags.voltage,tags.frequency,Country
270,501748223.0,"[31.248927390418526, 30.55708888740349]",substation,,Way,15330.0,,,egypt
272,502109038.0,"[31.272907509535177, 30.138787301413313]",substation,,Way,29840.0,,,egypt
275,524099261.0,"[32.914157027510484, 28.325399517675535]",substation,,Way,207880.0,500000;220000,,egypt
277,499106592.0,"[31.408107566457858, 31.06505734199983]",substation,,Way,9520.0,,,egypt
278,499106594.0,"[31.812148249999996, 30.476892599999996]",substation,,Way,8950.0,,,egypt
280,90608610.0,"[32.465864193200886, 30.021016864940794]",substation,transmission,Way,117390.0,500000;220000,,egypt
282,130572645.0,"[32.62033448025429, 29.209574651427594]",substation,,Way,104700.0,,,egypt
286,501748203.0,"[31.012144649095642, 30.530440108935398]",substation,,Way,14690.0,,,egypt
288,115491527.0,"[32.3058763566387, 26.00018443501097]",substation,transmission,Way,320670.0,500000;220000;132000,,egypt
293,502109022.0,"[31.202731459820534, 30.36274314657409]",substation,,Way,16390.0,,,egypt
294,426110748.0,"[31.281728852763315, 29.131547432034132]",substation,,Way,6760.0,,,egypt
295,524099273.0,"[31.010875170053765, 28.92011432894002]",substation,,Way,16760.0,500000,,egypt
296,426110747.0,"[31.26951722501866, 29.131146753601573]",substation,,Way,6540.0,,,egypt
300,131247024.0,"[30.141212628411434, 31.268085856117864]",substation,transmission,Way,46630.0,220000,,egypt
303,127222463.0,"[31.575805400000025, 31.39482230000007]",substation,,Way,11570.0,,,egypt
304,501748193.0,"[31.214659078596053, 30.45605919861523]",substation,transmission,Way,44690.0,500000;220000;66000,,egypt
305,426998278.0,"[32.88064834451611, 23.9716046190804]",substation,transmission,Way,14170.0,,,egypt
306,500208161.0,"[30.066218773689947, 30.710490563740265]",substation,,Way,11930.0,,,egypt
307,502109014.0,"[31.387059884003, 30.280890012911303]",substation,,Way,18000.0,,,egypt
311,127224255.0,"[31.519519197359152, 31.208890435779022]",substation,,Way,15420.0,,,egypt
313,426596386.0,"[32.076338907514554, 26.07338335190059]",substation,,Way,27000.0,,,egypt
314,426596405.0,"[32.26131286908921, 26.026590612297703]",substation,transmission,Way,3710.0,,,egypt
317,426156918.0,"[30.806633393615794, 28.650815649148942]",substation,,Way,21630.0,,,egypt
319,219005249.0,"[30.429716735653408, 31.08583030530971]",substation,transmission,Way,52500.0,220000,,egypt
321,427959725.0,"[34.14100474999996, 31.179845349999983]",substation,,Way,470.0,,,egypt
322,500185497.0,"[32.02142119830584, 31.173759270651537]",substation,,Way,3340.0,,,egypt
323,117342821.0,"[31.411080846259694, 26.725100834853162]",substation,transmission,Way,38420.0,220000,,egypt
327,499315877.0,"[30.223766619744964, 31.104134169223407]",substation,,Way,32670.0,,,egypt
328,219771190.0,"[31.193178840726915, 29.975780672385675]",substation,,Way,3370.0,,,egypt
330,502403991.0,"[31.30674965000011, 29.82052855000006]",substation,,Way,4790.0,,,egypt
332,660242847.0,"[32.46502288482548, 29.92629384747252]",substation,,Way,16570.0,,,egypt
333,120521277.0,"[32.30539527586248, 31.086536128969986]",substation,transition,Way,6730.0,,,egypt
334,500449352.0,"[30.33025427043036, 30.5433627637374]",substation,,Way,54140.0,,,egypt
335,426596409.0,"[31.81724620575728, 26.27966532093078]",substation,transmission,Way,112620.0,220000,,egypt
336,426347957.0,"[30.962085216309912, 27.30613930708981]",substation,,Way,14210.0,,,egypt
339,654933045.0,"[29.879944500000075, 31.16423000000003]",substation,,Way,3360.0,,,egypt
340,131239138.0,"[29.853012084503636, 31.084099003855847]",substation,transmission,Way,68200.0,220000,,egypt
341,500449383.0,"[30.0494453192089, 30.70607692276488]",substation,,Way,1360.0,,,egypt
345,426596394.0,"[32.07358429482172, 26.28295650938952]",substation,,Way,27280.0,,,egypt
347,127237826.0,"[31.363481416312755, 31.20125525229573]",substation,,Way,5420.0,,,egypt
